                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     70,                 1.0059,                0.59366,                 1.0652,                 0.9067,                0.80723,                0.88209,                0.57926,                 1.2035,                0.67914,                 1.2227,              0.0006536,              0.0006536,              0.0006536
                     71,                  1.038,                0.58865,                 1.0687,                0.94303,                0.79776,                0.88943,                0.58957,                 1.2355,                0.70509,                 1.2336,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.0772,                0.60584,                 1.0838,                0.89406,                 0.8135,                0.86709,                0.58365,                 1.2464,                0.72452,                 1.2459,               0.000614,               0.000614,               0.000614
                     73,                 1.0636,                 0.6104,                 1.0812,                0.88264,                0.81552,                 0.8685,                0.58003,                 1.2512,                  0.697,                 1.2185,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.0469,                0.62106,                 1.0648,                0.88515,                0.79518,                0.88234,                0.57029,                 1.2637,                0.70095,                 1.2134,              0.0005744,              0.0005744,              0.0005744
                     75,                0.97119,                0.59182,                 1.0279,                0.88152,                0.80678,                0.89266,                0.57583,                 1.2436,                0.68339,                 1.2208,              0.0005546,              0.0005546,              0.0005546
                     76,                0.98662,                0.58197,                 1.0373,                0.95025,                0.74699,                0.87639,                0.57876,                 1.2525,                0.69631,                 1.2288,              0.0005348,              0.0005348,              0.0005348
                     77,                0.97344,                0.57163,                 1.0413,                0.84232,                0.81928,                0.87748,                0.57754,                 1.2368,                0.68265,                 1.2222,               0.000515,               0.000515,               0.000515
                     78,                 1.0027,                0.57287,                 1.0632,                0.85896,                0.80713,                0.87619,                0.57528,                  1.244,                0.69768,                 1.2354,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.0098,                0.56054,                 1.0491,                0.85991,                0.81356,                0.86927,                0.56655,                  1.258,                0.69345,                 1.2365,              0.0004754,              0.0004754,              0.0004754
                     80,                0.97381,                0.57749,                 1.0474,                0.91636,                0.79202,                0.87238,                 0.5491,                 1.2752,                0.70306,                 1.2389,              0.0004556,              0.0004556,              0.0004556
                     81,                0.95581,                0.55958,                 1.0419,                0.90491,                0.80265,                0.87523,                0.54845,                 1.2616,                0.72164,                 1.2199,              0.0004358,              0.0004358,              0.0004358
                     82,                0.96923,                0.56064,                 1.0406,                0.89289,                0.80354,                0.87468,                0.55512,                 1.2495,                0.72945,                 1.2309,               0.000416,               0.000416,               0.000416
                     83,                0.94519,                 0.5377,                 1.0588,                0.91514,                0.78313,                0.87668,                0.57419,                 1.2375,                0.71973,                  1.223,              0.0003962,              0.0003962,              0.0003962
                     84,                0.96841,                0.56914,                 1.0476,                0.91542,                0.78241,                 0.8723,                0.56116,                 1.3008,                0.71638,                 1.2489,              0.0003764,              0.0003764,              0.0003764
                     85,                0.97138,                0.56967,                 1.0359,                0.91886,                0.78313,                  0.895,                0.56856,                 1.2799,                0.68774,                 1.2252,              0.0003566,              0.0003566,              0.0003566
